timestamp,agent.name,rule.description,rule.level,rule.id
"May 16, 2026 @ 17:06:54.169",ubuntu-target,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 17:06:54.168",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:06:46.207",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 17:06:34.148",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 17:06:34.146",ubuntu-target,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 17:06:34.146",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:06:28.152",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 17:06:28.146",ubuntu-target,Group (or user) deleted from the system.,3,5903
"May 16, 2026 @ 17:06:28.145",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:06:28.145",ubuntu-target,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 17:06:24.187",ubuntu-target,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 17:06:24.187",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 17:06:24.187",ubuntu-target,New group added to the system.,8,5901
"May 16, 2026 @ 17:06:24.187",ubuntu-target,New user added to the system.,8,5902
"May 16, 2026 @ 17:06:24.141",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:06:14.137",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 17:06:14.135",ubuntu-target,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 17:06:14.135",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:05:02.098",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:05:02.054",ubuntu-target,sshd: authentication success.,3,5715
"May 16, 2026 @ 17:04:38.074",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:04:38.074",ubuntu-target,Apparmor DENIED,3,52002
"May 16, 2026 @ 17:04:38.027",ubuntu-target,sshd: authentication success.,3,5715
"May 16, 2026 @ 17:04:09.996",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:04:07.995",ubuntu-target,PAM: User login failed.,5,5503
"May 16, 2026 @ 17:04:07.995",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:04:03.995",ubuntu-target,syslog: User missed the password more than one time,10,2502
"May 16, 2026 @ 17:04:03.993",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:04:01.990",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:03:57.983",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:03:53.978",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:03:49.976",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:03:48.019",ubuntu-target,PAM: User login failed.,5,5503
"May 16, 2026 @ 17:03:47.972",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:02:11.886",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 17:02:09.922",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 17:02:09.922",ubuntu-target,Apparmor DENIED,3,52002
"May 16, 2026 @ 17:02:09.877",ubuntu-target,sshd: authentication success.,3,5715
"May 16, 2026 @ 17:01:49.861",ubuntu-target,syslog: User missed the password more than one time,10,2502
"May 16, 2026 @ 17:01:49.859",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:01:47.858",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:01:43.851",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:01:41.849",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:01:39.846",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:01:37.890",ubuntu-target,PAM: User login failed.,5,5503
"May 16, 2026 @ 17:01:37.843",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:01:21.832",ubuntu-target,syslog: User missed the password more than one time,10,2502
"May 16, 2026 @ 17:01:19.832",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:01:17.831",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:01:13.824",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 17:01:13.824",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:01:09.818",ubuntu-target,sshd: authentication failed.,5,5760
"May 16, 2026 @ 17:01:07.858",ubuntu-target,PAM: User login failed.,5,5503
"May 16, 2026 @ 17:01:07.813",ubuntu-target,unix_chkpwd: Password check failed.,5,5557
"May 16, 2026 @ 16:47:38.015",wazuh-server,sshd: authentication success.,3,5715
"May 16, 2026 @ 16:47:38.015",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 16:47:11.215",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 16:47:07.211",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 16:47:07.211",ubuntu-target,sshd: authentication success.,3,5715
"May 16, 2026 @ 16:46:37.214",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 16:46:37.195",ubuntu-target,PAM: Login session opened.,3,5501
"May 16, 2026 @ 16:46:37.193",ubuntu-target,Apparmor DENIED,3,52002
"May 16, 2026 @ 16:45:57.940",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 16:45:57.940",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 16:45:29.930",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 16:45:26.746",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.688",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.611",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.609",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.609",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.609",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.585",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.584",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.365",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.308",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.245",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.163",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:26.035",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.974",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.914",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.853",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.793",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.733",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
